Image Name,Description,File Name,Extracted Text
05736.png,a man and a little girl are sitting at a table,05736.png,"dadmalishumanityp idon't Kiowson, [e arezionisl"
05741.png,a police car driving down a street with a police car behind it,05741.png,duringja speed chase shoottas J0o7 RPEI ShO TERS GENGIS coon F04nti RIVL Duentaan Hn 000 GVJ 021 0055 n]4 which song are vou bblasting in Vour car 3
05743.png,a large explosion of fire with the words how your beliefs after ta,05743.png,how vour booty feels after the taco bell drons
05749.png,a man and a little girl playing tennis,05749.png,"[obbody at school wamts @ guard] [u[hamuwad; [he""s &00 expostive"
05761.png,a man in a suit and tie holding a laptop,05761.png,dom7i shoot;I'm fron Uhe group why dont vou post and comiment? 'm shy; Dbut i like SQum
05762.png,a woman with long hair and a black and white photo,05762.png,listen bitch; before vOu start fucking withh me vou should know mV team is bbigger
05781.png,hitler ' s hitler is the only hitler,05781.png,hitler comedy called meim fuhrer
05782.png,a man in a suit and tie standing on a red carpet,05782.png,pou Lowwhat gcinds mpgears? AQUA SutM Idult stvim] Qult 5*tImt nincorc
05784.png,a man in a suit and tie is smiling,05784.png,"let me be clear_ ifi had a son;, [e would Iook like harambe"
05789.png,a man with glasses and a beard smiling,05789.png,dhe om[l persom i trust is me and eqem thats prettyfuching ily sometimes
05791.png,a goat with a tag on its face,05791.png,"mohammed iFm pregmamL domFt sasS me, VOu [now its funnv] cupcakes"
05792.png,a woman with her mouth open and a surprised expression,05792.png,when vou just realize that vou forgot (0 take the cake out of the oven
05793.png,a man and woman are talking to each other people,05793.png,name something females Say 2 2 ? before sucking dick PATTY
05798.png,three women posing for the camera,05798.png,when they [become besties Goin EE 05 over the same dude Kids choic award Dict JRDI
05813.png,a building with a yellow aw aw aw aw aw aw aw aw aw aw aw aw aw aw aw,05813.png,roseS are red candles drdp ax 90 brealing news  (@PB man tries t0 trade kdmapped haby for 15 big macs reeenade
05824.png,a man in camouflage holding a rifle,05824.png,keep yelling; mouherfuckers vou're just playing call of duty
05826.png,a cartoon drawing of a man with a speech bubble,05826.png,"@mmosexsL [being sewst Is @ong , auibetiig Wolig for womec"
05832.png,hitler is a speech,05832.png,hitler giving a speech
05841.png,a man and woman sitting on a couch,05841.png,Wbads worse tban ants [npour [amts? uncles
05846.png,four men in white robes with black and white logos,05846.png,ou [strance
05847.png,a man with a black shirt and a white background,05847.png,@hem Uhey ask for fire exinguisher and you reply don't smoke
05863.png,a dog wearing a hat and a scarf,05863.png,[eilllo bbrother wailis that a shotgum?
05864.png,two camels are standing in a row and one is ya ya ya ya ya ya ya ya ya,05864.png,@ust me_ Gon thev're re a[ll derrorists
05869.png,a man with glasses and a tie is making a funny face,05869.png,"MV Wife asked me where id [ike to be buried apparently; ""halls deep) in [OTr sister"" wasn""t the answer she was expecting"
05872.png,a room with a fire damage and a fire in the ceiling,05872.png,joke time 3 muslims walk into a bar_
05874.png,a person standing on a toilet with a red flower on their feet,05874.png,[bow wou [ie me mow 3
05879.png,a group of people holding signs with the words free love,05879.png,LeBT  ZcBI me watching the pridle parade LovE FRe Free Jove
05912.png,a man with a finger on his nose,05912.png,DJookat me imlbHuUalu
05914.png,a man in a white turbal,05914.png,meampubile at the isis strip cluh
05916.png,a man in a suit and hat holding a cell,05916.png,[ev; ijtsu melpou; and uhis [s €razy; this IS MV grenade SO blow maybe? mle
05917.png,a chair with a cow print on it,05917.png,Stephem hawking reincarated a8 a chair
05918.png,a group of men standing in front of a building,05918.png,Dbunming Ubem was a horrific event in the history
05926.png,a boy in a classroom,05926.png,this sundayz don t forged Co set pour homb forward one hour
05928.png,two hippos in the water with their mouths open,05928.png,"just because she weighed as much as two people , that dloesn'L mean thatyouhad a threesome"
05931.png,"a man laughing with the capt that says, so getting your job for going",05931.png,stop editingvour pics @aliIyou g0 missing? [boware we gonma find you if vou [ook Iike barhie on fb and| chupacabra in real life;
05936.png,a group of children standing in front of a crowd,05936.png,wish iwas there and had my gun to hel@ then
05938.png,a man is being tied up to another man,05938.png,im the musiilm world all gay mem are well hhung
05941.png,a baby is sleeping on a blanket with a quote,05941.png,"Saw an ad 0n tu. [ called the number on the screem ihad t0 get one, they seem t0 work SO much better than those sticky strips that hang from the ceiling"
05942.png,the queen and prince of wales smile as they sit together,05942.png,"vour MaeStv what'$ the secrt I0 a Iont Iitep well kate uon"" Icave willam Ior fucking Muuslisi ,"""
05943.png,a woman sitting in front of a man in a suit,05943.png,this is whhat ricl white trash [ooks Iike and it's time to take oui the trashl
05947.png,a big brown bear standing in the woods,05947.png,suIIII] more comfiimed sigbbtings tham 28 mostler ammo
05948.png,a black mustang with a white stripe on it,05948.png,"puLlmp in ubis andgell 'come 0m @ve gOt sone redneck shit @ do"" are pou getting [m?"
05968.png,a young boy in a pirate costume holding a pirate hat,05968.png,Malnouilpoudoiigupreqaml
05972.png,a man playing a guitar,05972.png,whem voq have t0 take another picture or M1OMI
05973.png,a man and woman sitting at a table with a book,05973.png,Ibot Dblack peoplle became chriisuams
05976.png,a man with a cigar in his mouth,05976.png,Whal dloes pour wilie amd aland gremade hhave in common remove the ring and your hovse iS gone
05978.png,a man standing next to a bike with the words think it ' s slow,05978.png,[ @ink itis safe @Ow challenge acceppted
05984.png,a boy riding a skateboard on a skate ramp,05984.png,removes [olish with chemicals nobody bats an eye removes [olist [ith chemicals everyody oses his shdt
05986.png,a woman with glasses and a gun in her hand,05986.png,Te eed__he TieTeTzeahail newzealand hanned rilles; Ithe move t0 new zealand bitch
05987.png,a woman in a black dress standing next to a gorilla,05987.png,interracial dating Ye :n? J 1a somting Iike that 86_M
06123.png,a dog and a puppy are sitting in the grass,06123.png,a group Of mem
06125.png,a cat is standing up with its arms up,06125.png,"imma ask this question only once who""s got MV fucking [ighhter"
06127.png,a dog is looking at a woman in a hospital bed,06127.png,when Vou ask the stoke [atient to| smile
06135.png,a person is putting a bowl of whipped cream,06135.png,everyone should @ake care @d ubei skin
06147.png,a book with a gold cover on it,06147.png,ItS the this is the qur'an islamic sacred book
06153.png,a group of people standing in front of a house,06153.png,had a bad dream about the ku klux klan 931
06157.png,a black and white photo of a man in uniform,06157.png,dark humor iS like food not everybody gets it
06158.png,a man sitting at a computer with a video game on the screen,06158.png,new zealand edition call 0f duty
06175.png,a man is running in a track,06175.png,whem someome dropS a [emmy
06179.png,the face you make you out and the face you keep,06179.png,the face VOU make after VOU nut andltbe goat heeps suiching
06194.png,"burning books with the words, burning things that don ' t ' anything you",06194.png,burning things that don't mean anything t0 vou
06195.png,a man is cleaning a dishwasher,06195.png,what do i do when [V dishwasher SUOpS? should ged baci d scrubbbbing
06197.png,a man in a suit and tie is smiling,06197.png,want proof fdredigdters do it better? ask a police Officer'S Wife
06198.png,a black smokestak is coming out from the sky,06198.png,mvieques @S tter;iliow Marchh 201197 constant military bomb explosionsu
06213.png,a group of people walking down a street,06213.png,the uS navy larices E keeping tranny hookers Iaid since 1775 Marines MApe
06218.png,a girl with her tongue out and a capt that says that she ' s a little savage,06218.png,thatS a little Savage
06231.png,a man with a microphone talking to another man,06231.png,doineed [O UigHp hiller |O shoHyou how to usea1 OveI CR=
06237.png,a man getting his hair cut by a barber,06237.png,"when leadership says @Cs not mandatory but its ""highly encouraged""!L!"
06239.png,a man taking a picture of a boy on the beach,06239.png,"cameraman: i dom""t understam: pSychiic kid; trust me this willl be really funmy somedlay"
06243.png,a man with a pink hat smiles and looks up at the camera,06243.png,(aughs in goat fucker)
06248.png,a man with a smile on his face,06248.png,vour black neiglbbor after Vou called Uhe cops
06273.png,a woman standing at a podium with flags behind her,06273.png,the jihad squad SRESE>
06275.png,a man holding a microphone in front of a microphone,06275.png,"SO pou [istem to rap mnusic but goutte offended [bv ""baly itS cold @utside"
06291.png,a woman laying in a bed with a pillow,06291.png,whel vou hrowvourselEila caslel bbc vouPre over it
06293.png,a cartoon character sitting at a desk with a red tie and a white shirt,06293.png,dlovow [tow [bow @o emd transplbobbia? Killing all tams people
06295.png,a young boy with glasses and a tie around his neck,06295.png,are ua Wizard?
06315.png,a black and white photo of a group of men walking down a dirt road,06315.png,solution D0 mexicans pJaying for the wall [eave alllithe illegals hanging around the bordler
06319.png,a man in a suit shaking another man in a suit,06319.png,proof JOU don't have to fly a plane md a building to destroy nationl
06325.png,a woman in a blue dress is speaking into a microphone,06325.png,trup donated his salary t0 alcoholism research 6 i see it as a personal attack
06329.png,obama ' s rope is a thing of the past,06329.png,president condemned capital punishment
06345.png,a police officer is handing a woman a ticket,06345.png,"driver: ""what am i supposed to do with this speeding ticket"" Ofificer: ""keeq) it, whem vOU collect four 0f them; vou get a bicycle """
06348.png,a woman in a brown sweater and a white brick wall,06348.png,te [ook vou give wbem vour usband  wouldI rather  fUck a goat Uhen vou
06349.png,the president and first lady are laughing together,06349.png,thev still think Tni ot a muslim they still think i'm a chick
06352.png,a young boy riding a bike with the words and then skom can we play?,06352.png,and @hem aSked mom; Cam We g0 pplaye
06357.png,a man and a girl sitting on a bed,06357.png,DCs time to Stop this
06359.png,a woman sitting at a table with a laptop,06359.png,what women think they'II do when the ecomomy collapses VS what thev'Ilactually do
06374.png,a black and white photo of a group of people hanging from a building,06374.png,isllamic windlchimes
06375.png,a man in a priest ' s robes is being his face,06375.png,We hhave pveace Dbut we can give ars
06378.png,a man holding a baby orang in his hand,06378.png,let S emd racism
06387.png,a man sitting on a couch with his arms up,06387.png,phem vou [eader is Hillled Dby @rome andvou get (0 fuclz [is [erd ol goats
06392.png,a woman in a wedding dress holding a gun,06392.png,d0m7t forgew guws may [s [bu vouf wvfe a mel gum momdh
06412.png,a woman with blonde hair,06412.png,when vou eat your rehab romance booty in (he [aundy room but she's dav 3 sick HH M
06415.png,a man with a feather on his head,06415.png,Tevelforgelwhat JOur ancesLors WeiU Iov Chrisliallity if vou epven dhink about dating awhhite man vou disguSt me
06418.png,a person is holding a red bag with wires,06418.png,1homb every minute
06425.png,a man in a suit and tie is smiling,06425.png,"if vou have a problem with me_call me ifyou don't have Iny number, then that means VOu don'( know mne well enough to have a problem"
06427.png,a woman with a blue shirt and a white background,06427.png,[tde girIs are the dlevill
06431.png,two women standing next to each other woman,06431.png,when the emplovee ashs what bra size Vou wear
06435.png,slave slave slave slave slave slave slave slave slave slave slave slave slave slave slave slave slave slave slave slave,06435.png,slave salesuan: slams hand ow head Cosion5 TonUkz8c cocesso Kuhe GColsrta  one
06439.png,a man in a suit and tie standing in front of a white backdrop,06439.png,[back d Ubez [halll 0f fame 198h ammual rock and roll 1 ; [ 1
06458.png,a man in a suit eating a piece of food,06458.png,"oh; gou""ie @ired @d mV and-urump posts? wv dom""t you prav fOr me @0 stop?"
06471.png,the cast of ' the real housewives ' at the premiere,06471.png,colim kaeleriick and his evil white oppressors Mnp oh wait those are his parents]
06479.png,a man in a police uniform is standing next to a police car,06479.png,[hempottve (mallly [become a cop and seea black gu this is where the fum hegins
06481.png,a man is putting a green car wash,06481.png,where'$ kaepernick? need my car Washed
06482.png,a man sitting on a couch with a red curtain behind him,06482.png,dont always make sandwiches because im not a woman
06483.png,a woman with a smile on her face,06483.png,"@e dlal. lorg [loug ag@v iiherre [ivjed] a Womam who dlild] mot whfle,nag @r [bbielh Dud was a [ong time ag0, andiwas [ustone dlau ~tbe end-"
06489.png,a woman in a turbal hat sitting at a table,06489.png,a head diaper   is required Ms Omar when vou have shit for brains
06491.png,a woman with a black dress and a blue eye,06491.png,tranny for sale
06513.png,a woman doing a plank plank plank plank plank plank plank plank plank plank plank plank plank plank plank plank,06513.png,Smile [O matier [hat Vour going uhrough
06514.png,a woman eating a salad on a boat,06514.png,Qalal is @t meat vou?re [ooking (Or?
06519.png,"a goat looking out from a door with the capt that says, not goatshew they ' re",06519.png,moutain goats bide whem they hear alllal akbbar because Uhey [ere the goat fuckers are coming
06524.png,a woman in a police uniform is looking at a man in the mirror,06524.png,how black women fight crime 2u
06531.png,a man is reading a book in a library,06531.png,"idon t always have sweaty balls aa 3t01 JaLRino 1 Vou L 77om Oc^0 "" but when  dlo, they're wetter than a tiajuana hooker during spring break and smeIl Iike a zombie'S vagina"
06534.png,a girl with a bruised face and a white shirt,06534.png,sOmMhegushicudalellachgus
06537.png,two men in suits are smiling and looking at each other men,06537.png,lust and love
06539.png,a man with a red shirt and a tattoo on his face,06539.png,excuse me! anvone Can wear a dress!
06541.png,hitler memememe hitler mememe hitler meme hitler mememes hitler mememes,06541.png,hev i juSt met vou and Uis is crazy; but here's [LV mumbber TII gas pour [baby
06543.png,a picture of a man in a suit with a gun,06543.png,"vOu are finally here, brother-slayer. spawn killer. all that strenguh and voure still nothing huta ninner"
06547.png,a woman with a smile on her face,06547.png,hide ant seek euronean chamnion r 1194241944
06579.png,a baby is sitting on a table with people,06579.png,dom7w kmow [ow to deal wiuh Dblack people Dut i guess i'II take a shotat it
06582.png,a group of people laying down on the ground,06582.png,they are terrorists anyone who doesn't agree is an idiot
06584.png,a woman in a red dress standing in a doorway,06584.png,Whem Vou coiSume 100 IiUch trais Fat
06589.png,a man with a white cap on his head,06589.png,Om alla aklbar Wll @ujck ur goats
06593.png,a baby in a diaper,06593.png,dKSS
06597.png,we ' re ' all over the world,06597.png,@eFre all] Dere cause [ve) aita1l] dbere
06712.png,a man and woman are laughing and looking at each other people,06712.png,smell] dhar thats wh we hhave t0 use condoms
06714.png,a man in a suit and tie smiles while speaking into a microphone,06714.png,"vote for me free kfc, grape bool aid; & watermelon"
06715.png,a man sitting on a bench looking at a gi,06715.png,take them @0 he z00 Uhev said thev'II Iearn something new thev said
06723.png,the hardest seat in a wheelchair,06723.png,Ue [bardest part to eat i a pegedable
06725.png,a man in a suit and tie is sitting at a laptop,06725.png,open'$ inbox %et me suck [our dick opens [rofilez its vour crazy @K g
06728.png,a man with dread hair holding a trophy,06728.png,the omLy Kkk Zo ever Mlm UALI( [et black men [m
06739.png,a man with a beard and a beard,06739.png,"dlomFtusuallyy act [Iike an asshole_ JD but when i do, i'm probably fucking with someone from the shallow gene pvool."
06749.png,a boy with a backpack is entering a school,06749.png,when thev Iaugh at vour 9BL Dut you haven t evel reaelhed] pulertv vet
06752.png,"three men walking in a field with a text overlay that reads, ' the irish '",06752.png,"Ube amish proof thatvou cam be cOmIpletely devoteu  to Vour religion wear beards, dress modestlyand rejectmoder socielywilhoulstrajpingexplosives (0 childrei"
06759.png,a man and woman sitting next to each other people,06759.png,girl: how do you eat [JUSSV? me: Iike a retard tasting ice cream for the first tinze
06781.png,how to use whitening tips,06781.png,[how @opS subbdue whites Dlachs see Uhbe miglbl amd day respomses
06791.png,"a woman laughing and holding a microphone with the words, ' my it ' s came back negative '",06791.png,great news! MV iq tests came back negative
06793.png,a monkey eating a piece of food in its mouth,06793.png,"when asked what [ did over the weekend i reply; ""wy what did vou hear"
06794.png,a black ball with the words you like to be,06794.png,iyou uhinh &he other pums where [bad] jusC wafl @ipou sea mine
06795.png,a goat with its mouth open,06795.png,that look when VOu find out vour hhushand isn'T coming home from the mosque
06798.png,news from 20th century,06798.png,mewS from 2Oth cedtury
06823.png,a black and white photo of a man with a mustache,06823.png,(emovespolish with chemicals Mohody hats a1 eve @emoves pvolish with chemicals euerybody loses bis shit
06824.png,two men with a dog in their arms,06824.png,@bese arenFt Dearsl these are juSt {wo fat gay fucksy ipride
06825.png,a couple is taking a self self self self self self self self self self self self self self self,06825.png,"""allisy # dimnOwand Toweara hijah:' Hbut my hushand convinced]me otmherwise;"
06832.png,a man in a suit and tie walking next to another man in a suit and tie,06832.png,government shills hate him!u <<< this aussie shitposter_ removes 50 muslims with this one weird trick  and basically vou are fucking acceleratedl
06842.png,a man in a suit and tie giving a speech,06842.png,"Whe your (IVig eXHlain Covere: KePig Whyvou here OUL L IKSHEHRING Fasigip Qleuwed ""Iook honey"""
06845.png,a man sleeping on a bed with a quote,06845.png,"""whatcha thinkin"" abbout; Libberal cuck""? ""antifa getting their asses kicked, crying about the election; loving isiam goatshaggers;, butt sex, criing, more crving,and stuff,"
06847.png,a black and white background with the words ' black ',06847.png,matte black gloss black
06852.png,a man in a suit and tie is giving a speech,06852.png,"man committing genocide armed with nuclear weanonS, gunhoats, heliconter yunships, tanks, hombers, bulldozers, F drones and as Mnany arms aS he can huy with the S4 hillion per year america gives himn K Inj Hn 555 0 plavs the victim"
06859.png,a man in blue shirt holding up a microphone,06859.png,the entire world: the great war killed millions germany: JOu gotta HIUIIIII those TlHhers UII!
06871.png,a man in a suit standing next to a cake,06871.png,"abdul; vou moron! i said ""pag thbe Oat and wheat""! U 71 not ""shag the goat meatn (Jatdey"
06873.png,a goat standing in a field with a sign,06873.png,juslgotabootleg cop1o1  muslim porn deep) goat
06874.png,a man in a suit is standing next to a car,06874.png,achl! thats MV car volkswagen cars produce more gaz than exppected
06875.png,a white cake with a large number of flowers,06875.png,itdidn'thappen hecause Of Ihe actions Of one [anil happened because of people Who Tere 'jusL dloing (heir johs'
06892.png,a boy sitting at a table with a cell,06892.png,when vou're trving tO listen to the teacher in vour school and the foreign exchange student keeps on crying {09
06893.png,a hand holding a pink object with the words you are not,06893.png,jou rapeem pe scrape em m0 fetus €an defetus
06897.png,a man in a suit and hat sitting on a couch,06897.png,"@you Uhik Uhe crakiia 08 @oday is different from the crakha 500gears ag0, you're a damm fool"
06914.png,a woman in a turbal hat and a turbal hat with a fire in the background,06914.png,"""never forget"" vou said am the proof ~Jou have forgotten"
06927.png,a boy in a tie and shorts is throwing a frck,06927.png,Uis is me not having any white guilt
06931.png,a woman in a white suit sitting in a chair,06931.png,the newest hate group the dumb stupid klan
06934.png,hitler ' s wife hitler ' s wife hitler ' s wife hitler ' s wife hitler ' s wife,06934.png,hitler nonchalantly killing millions of jews with n10 remorse
06937.png,a group of people walking through a barren area,06937.png,"coming soon (0 pour neighborhood 300,000 islamic heathens demanding the usa change to suit thier sick religion"
06945.png,a large explosion is coming out of the water,06945.png,"""eulebra US. territory usmiltary bomb explosions march 2019"
06948.png,a man and a little girl holding a basket of cher,06948.png,Vou mean i dont have t0 [ick it and can eat it?1
06951.png,a picture of a city with a very tall building,06951.png,mevec {orgjet united we stand
06952.png,a man in a suit and tie is on a motorcycle,06952.png,motorcross bikes are ridden by drug lealerS and gang members because they cam easilly elude Iaw enforcemedl mothhers against dleath sports if vour child has an [nterest im motorcross thevmav have ioined a gang or be involved in the illegal drug trade
06973.png,a woman in a lab coat and gloves,06973.png,"what it lookS Like whem cancer aids gets"""
06985.png,a bird flying over a fence with the capt,06985.png,"their average iq] is abbout 70-80, few [poimts above being retardled"
06987.png,a woman sitting on the ground with her cell,06987.png,that Iook vou give when vou got JOUr MuX but not vour hiids
07124.png,how i roll how i roll,07124.png,[ow @ wnk at a musLim
07125.png,a bunch of different pictures of different buildings,07125.png,muslim in congress 2019 muslims in 2001
07126.png,a group of kids standing around a bunch of pigs,07126.png,Uhese are kids; these are pigs please dont get uS confused
07134.png,a person laying on a bed with their feet on the bed,07134.png,sexbomb sexlbombb vou are IV sexbomb
07135.png,a group of people walking down a street,07135.png,this is Uhbe greatest mews [anufacturing in 2Oth ceUurN
07159.png,a man with a beard and a smile,07159.png,when the school shooter finally leaves and the hottest girl in ciass is laying dead on the floor its free real estate
07164.png,the president and his wife are shown in this image,07164.png,[promise Dromise promise. i deliver:
07192.png,a black and white photo of a man in uniform with a gun,07192.png,wheq ycu're a mazd officenand someone giues the name and Jocation ofa jewish family voQ
07193.png,a woman in a black tank top and colorful shorts running through a forest,07193.png,things i love to hunt
07194.png,a man running on the road with the words running on the best way to stay,07194.png,umming iS @ne Of thhe Dest wavs ttO Stav fit
07198.png,a man standing in front of a bunch of guns,07198.png,islam is a religion of peace stop criticizing My religion
07215.png,a bunch of different types of boats in the water,07215.png,dogs are cute; greai compantoTs; amd can be (aughd f0 obey and protect a better option than a gum
07218.png,a sponge sponge sponge is standing in front of a sign,07218.png,wheu VOuandya classmate are hding [om Uhe school shooter hulyouwaina die SO you siieeze t0 gel his atemtion IMortlna Foyuc hehehehehe Iny had guys
07219.png,a gorilla standing on its hinds in the grass,07219.png,gorilla dreaming thal shhbe was kimn burrell
07234.png,a man and woman standing next to each other people,07234.png,thats emough_ faceboolz {or (odlay Msamichisu  Jo@uaeiel
07236.png,a woman with glasses and a yellow shirt,07236.png,whel vou realltize that 'gingjer 1s Just the [I-1ordl reanauged]
07238.png,"a camel with a caption that says, uh guess what day is trump day",07238.png,@lh ol; guess wlbal day iliS @rump day
07239.png,a man with glasses and a tie on,07239.png,[head diaper IS retuired weqyoi have shit for brains
07241.png,a white towel hanging on a wall,07241.png,@mansmhearseeingfailhers spendinglimemothtbeir kids
07248.png,a woman in a bikini top and shorts is dancing,07248.png,it iS disgusting to laugh at gender dlysphoria}
07249.png,a man in a black shirt,07249.png,obama Uhrows first pitch at an all-star game
07254.png,a woman in a police uniform pointing a gun,07254.png,muslims believe that if they get killed by a woman; they g0 straight to hell wel ladies; it's time to lock and Ioad
07258.png,a woman in a costume with a hat and a hat on,07258.png,"SOme €razy [riez girls be like: vOu ever Ieave me; IYII punch myself in (he dace and tell copS Vou did it"""
07259.png,a dog sitting in the back of a truck,07259.png,come [bere gied let me smell yo Dbullt
07261.png,a woman holding a white ball in her hands,07261.png,SO vou are telling me american gvisies are just white trash
07265.png,a puffy puffer bird with a caption that reads mulletrats are more frequents,07265.png,musIit teTTOF allacks are re [requell while [eyrOr alacks aremore elicient
07268.png,a man and woman standing next to a car,07268.png,middle eastern prostitute
07269.png,a man in a white shirt is preparing food,07269.png,this salad iS so fresh ithad t0 live with its aunty and uncIe in belair
07285.png,a bunch of kitchen uts with the words kitchen uts,07285.png,shame 0m goq dork 4/ P Kitchenware 2 'dongued devils
07286.png,a man with a microphone talking to another man,07286.png,hiltler eating a meal with his family
07291.png,a man in a suit and tie with an umbrella,07291.png,it'$ a piece of cake if she'$ mot awwake
07293.png,a fire is burning in the air,07293.png,"angone that says white people can't jump) olviosly hasnht seen ihe 9/111footage] 'white peonle can"""
07294.png,a picture of a turtle crawling in the sand,07294.png,bruder VOu killed me SO the jew could control vour media SO the jews could controlyour banks SO the kews control vou money SO the could controlvoui government SO children could die for israel_ SO Yorenghers could destroy vour cities SO foreigners couldrun vour civiland ivublic services SO VOu become a prisoner in vour Own homes SO your pveople and race are lost forever
07312.png,a man sitting on a couch with a cell,07312.png,veah bitches @otalinarism is a-sham
07314.png,a woman and a child petting a dog,07314.png,spending alot od dime wiith vOu pets
07318.png,a man in a suit pointing at the camera,07318.png,"vou say im racist US Decause i don'( want USA illegals here? ~U 6s have some news for Vou. 'illegal"" isn'ta race, inorons Oet"
07319.png,a woman eating a sandwich with a caption,07319.png,"mussamic democrat; illham omar; has threatened members Ol congreSS. she's told several republicans thhat she'L send them ""shawarma"" , t0 ""give them a taste of her culture"" share to say arrest her ow!"
07325.png,a man in a suit and hat pointing a finger at the camera,07325.png,but meedyou
07345.png,a black and white photo of a man in uniform,07345.png,fuck banks and all thheir fees
07351.png,a stack of playing cards with the words play on it,07351.png,"""pplavs uno Steals all the greem cards"""
07354.png,a person laying on the floor with their hands on their knees,07354.png,is there anything more beautiful than the islamic call t0 prayer?
07356.png,a woman is putting a sandwich with let let let it,07356.png,mV husband told me t0 make him a sandwich need a good comeback would come back with a sandlwich
07382.png,a picture of a man in a house,07382.png,"Lie8ig ComPAMY $ FLeisch-EXTRACT wouldnt he the last time those ppeoplle used the ovem dhis way Hansel und Grerel. NP5. Hexe mag Sie noch so schrei n, Jn den Ofen muss hinein;"
07385.png,a man in a suit and tie is holding a cigarette,07385.png,Said glasS of juice not gas the iews
07389.png,a pug with a pink bow on its head,07389.png,wgou tell ube el Ibullyiing is nOU okav
07391.png,a group of people holding signs in a protest,07391.png,"0m motracisy DuL KE racist memes are allowed, right? RACISTS AFRAID AGAIN"
07392.png,a woman holding a baby in a field,07392.png,once @Ot] go Dblaclz ur a single mom]
07396.png,a man is laying on a horse with a blanket,07396.png,This project iS (ough but it will save the world
07412.png,a woman in a white dress is posing,07412.png,7 white trash @ation 1 1 K PMOY 9 L
07413.png,keg keg keg keg keg keg keg keg keg keg,07413.png,hello! may i please speak with jesus? cause these folks gonna make me break at least 4 of the ten commandments.
07419.png,a bunch of pictures of soldiers in the field,07419.png,"0n this day, the 25th of march; 1920, the black and tans arrive in ireland__ thev are given a warm welcome"
07429.png,a woman laying in bed with her stomach exposed,07429.png,'m about to have iy Sth abbortion VII fuck you batman @i @he real crime fighter
07431.png,a woman carrying a dog in a flooded area,07431.png,[eave no dog bbehind
07436.png,a man riding a horse with a spear,07436.png,"(Obe gopenmmemt savs, Tyou domtimeed agun"" JOQ [eed a gJuinL"
07438.png,a group of women standing next to each other women,07438.png,how women wim an argument
07451.png,a group of people in the middle ages,07451.png,actors costumed in the full regalia Of the kkk
07452.png,a group of planes flying in the sky,07452.png,genmamy builds UIbe fiiist jel [but couldm ? makze a Steel dloor (Or a gas clhamiber exppose the [ie
07456.png,a man in a white shirt and a woman in a black shirt,07456.png,domestic violence 2017 Viailevelpou O1mOH? this chickenis coldbiichl]
07458.png,a woman with glasses and a suit sitting in front of a microphone,07458.png,transgender satan is not amused
07463.png,a man in a white turbal,07463.png,meanwhile at the isis strip club
07465.png,a man in a black shirt and black pants,07465.png,mmupou give tbe @hite mam back his god; N etervthing i posUis T going t0 offend vou
07469.png,a man in a police uniform pointing a gun,07469.png,where is the criminal?
07481.png,a goat standing in a field with a goat in the background,07481.png,when Vou see vour goat with another man
07486.png,a bride kissing her groom on the cheek,07486.png,Whaf s the dilference hetueel a walrus andaleshian? Ole SHeIs Iikeishand hasa HuStache ald the olherIsaHalrus?
07496.png,a man and woman holding a baby in their arms,07496.png,this mnusliu guy is in heavem
07516.png,a person holding a remote control device,07516.png,teacber: alrigbt class take oul vour calcu[ators mohammed: 0003
07521.png,a man in jeans and a mask holding a baseball bat,07521.png,@uns @utom dbeywere  extecuing) someuhing pery d niecend wengavcUubbing with sone (icftends
07523.png,a man riding a inflatable in the ocean,07523.png,man cauglw [auimg sex wth a feminist at dhe [beach
07528.png,a woman sitting in the driver ' s seat of a green truck,07528.png,@he latesamdgreatesu a uck Whajt comes [iith a disthwashetl
07539.png,a man with long hair,07539.png,redneckworlofthe day;twerk illla have a few beers hefore iyet back twerk
07561.png,a man in a hoodie pointing at the camera,07561.png,Wrals HIasRHBUIUHubhZXHYh MHHiL zb slluils uHhe_Uy a_
07562.png,a brown and white cow,07562.png,rest in peace
07582.png,"a rainbow smiley face with the words, when you ' re, they ' re",07582.png,@hempouFie [ot only the gjav fiilend Dbualso ave thhe Sickest memes
07591.png,"a woman with her arms crossed and the capt reads, what ' s the point of interest?",07591.png,dJemocrats claim dacaHids shouldn t t have @o [pay dOr their paremts @rimes Du phite people are stll responsible OF I7uh cemtun slave 0w1erS??
07592.png,a woman sitting at a table with a laptop,07592.png,jusuin come bere the chevv faggots are mad again:
07594.png,a man in a suit holding a microphone,07594.png,if vou think its okay for iran to have @ukes; but not Okay for [awabiding americans @ [ave guns vou might be a dumbass
07596.png,"a gorilla wearing headphones with the words, the voice of the apes is not",07596.png,IefaceJOl Iakevhel OI OfIhse Uala eS CAIGeIs Ol= shoh
07612.png,hitler hitler hitler hitler hitler hitler hitler hitler hitler hitler hitler hitler hitler hitler hitler hitler hitler hitler hitler hitler,07612.png,whatiS that wondenful smellz ~itsmells like CaralelLoh fOiaywe buri Ihe Hiahetics
07615.png,a monkey with a big smile on its face,07615.png,i put the ape in rape
07618.png,a group of men with their mouths open,07618.png,protesting dleath t0 the middle east
07623.png,a man in a suit and tie is making a face,07623.png,a handful of rich people should not rum Ube coumtiy @ollil a handful of politicians Should
07628.png,a man with a beard and a white shirt,07628.png,jlbempou delll poug Islamic ftfleud poqcammoigood {be same [lae as dbeu allggbzdbe keeiyour [ide
